run,ipm,lambda,ipm_type,habitat
294,lag_cf,0.969,lag,cf
295,lag_cf,0.964,lag,cf
296,lag_cf,0.983,lag,cf
297,lag_cf,0.985,lag,cf
298,lag_cf,0.991,lag,cf
299,lag_cf,0.983,lag,cf
300,lag_cf,0.995,lag,cf
301,lag_cf,0.964,lag,cf
302,lag_cf,1.005,lag,cf
303,lag_cf,0.974,lag,cf
304,lag_cf,0.967,lag,cf
305,lag_cf,0.985,lag,cf
306,lag_cf,0.981,lag,cf
307,lag_cf,0.967,lag,cf
308,lag_cf,0.981,lag,cf
309,lag_cf,0.994,lag,cf
310,lag_cf,0.973,lag,cf
311,lag_cf,0.964,lag,cf
312,lag_cf,0.982,lag,cf
313,lag_cf,0.996,lag,cf
314,lag_cf,0.985,lag,cf
315,lag_cf,0.993,lag,cf
316,lag_cf,1.005,lag,cf
317,lag_cf,0.949,lag,cf
318,lag_cf,1.006,lag,cf
319,lag_cf,1.009,lag,cf
320,lag_cf,0.979,lag,cf
321,lag_cf,0.968,lag,cf
322,lag_cf,0.975,lag,cf
323,lag_cf,0.945,lag,cf
324,lag_cf,0.955,lag,cf
325,lag_cf,0.936,lag,cf
326,lag_cf,0.959,lag,cf
327,lag_cf,0.983,lag,cf
328,lag_cf,0.981,lag,cf
329,lag_cf,0.967,lag,cf
330,lag_cf,0.962,lag,cf
331,lag_cf,0.959,lag,cf
332,lag_cf,0.955,lag,cf
333,lag_cf,0.921,lag,cf
334,lag_cf,0.943,lag,cf
335,lag_cf,1,lag,cf
336,lag_cf,0.941,lag,cf
337,lag_cf,1.008,lag,cf
338,lag_cf,1.007,lag,cf
339,lag_cf,0.959,lag,cf
340,lag_cf,1.024,lag,cf
341,lag_cf,0.998,lag,cf
342,lag_cf,0.997,lag,cf
343,lag_cf,0.98,lag,cf
344,lag_cf,0.975,lag,cf
345,lag_cf,0.948,lag,cf
346,lag_cf,0.949,lag,cf
347,lag_cf,0.969,lag,cf
348,lag_cf,0.977,lag,cf
349,lag_cf,0.963,lag,cf
350,lag_cf,0.983,lag,cf
351,lag_cf,0.997,lag,cf
352,lag_cf,0.983,lag,cf
353,lag_cf,0.972,lag,cf
354,lag_cf,1.012,lag,cf
355,lag_cf,0.98,lag,cf
356,lag_cf,0.98,lag,cf
357,lag_cf,1.058,lag,cf
358,lag_cf,1.016,lag,cf
359,lag_cf,1.004,lag,cf
360,lag_cf,0.962,lag,cf
361,lag_cf,0.999,lag,cf
362,lag_cf,1.017,lag,cf
363,lag_cf,0.976,lag,cf
364,lag_cf,0.973,lag,cf
365,lag_cf,0.999,lag,cf
366,lag_cf,0.997,lag,cf
367,lag_cf,0.989,lag,cf
368,lag_cf,0.973,lag,cf
369,lag_cf,0.979,lag,cf
370,lag_cf,0.992,lag,cf
371,lag_cf,0.969,lag,cf
372,lag_cf,0.992,lag,cf
373,lag_cf,0.945,lag,cf
374,lag_cf,0.989,lag,cf
375,lag_cf,0.986,lag,cf
376,lag_cf,0.975,lag,cf
377,lag_cf,0.952,lag,cf
378,lag_cf,0.996,lag,cf
379,lag_cf,0.99,lag,cf
380,lag_cf,0.938,lag,cf
381,lag_cf,1.003,lag,cf
382,lag_cf,1.008,lag,cf
383,lag_cf,0.994,lag,cf
384,lag_cf,0.994,lag,cf
385,lag_cf,0.99,lag,cf
386,lag_cf,0.997,lag,cf
387,lag_cf,0.986,lag,cf
388,lag_cf,0.945,lag,cf
389,lag_cf,0.971,lag,cf
390,lag_cf,0.966,lag,cf
391,lag_cf,0.98,lag,cf
392,lag_cf,0.988,lag,cf
393,lag_cf,0.958,lag,cf
394,lag_cf,1.005,lag,cf
