date,lat,lon,precip,eto
1980-02-11,-2.375,-60.125,1.02734375,4.363574028015137
1980-02-11,-2.375,-59.875,0.8427734375,4.378485679626465
1980-02-11,-2.375,-59.625,0.720703125,4.389086723327637
1980-02-12,-2.375,-60.125,2.298828125,3.4231982231140137
1980-02-12,-2.375,-59.875,1.478515625,3.515486240386963
1980-02-12,-2.375,-59.625,1.4140625,3.5824153423309326
1980-02-13,-2.375,-60.125,4.62109375,3.038837432861328
1980-02-13,-2.375,-59.875,4.75,3.042147397994995
1980-02-13,-2.375,-59.625,3.9453125,3.0467934608459473
1980-02-14,-2.375,-60.125,11.1796875,2.1621742248535156
1980-02-14,-2.375,-59.875,10.96875,2.1185898780822754
1980-02-14,-2.375,-59.625,10.2578125,2.0872983932495117
1980-02-15,-2.375,-60.125,0.22607421875,2.381666898727417
1980-02-15,-2.375,-59.875,0.4990234375,2.38826060295105
1980-02-15,-2.375,-59.625,0.7314453125,2.393089532852173
1980-02-16,-2.375,-60.125,2.474609375,3.768829107284546
1980-02-16,-2.375,-59.875,2.185546875,3.872521162033081
1980-02-16,-2.375,-59.625,1.609375,3.945449113845825
1980-02-17,-2.375,-60.125,4.07421875,2.910451889038086
1980-02-17,-2.375,-59.875,3.96484375,2.9122066497802734
1980-02-17,-2.375,-59.625,4.30859375,2.9103338718414307
1980-02-18,-2.375,-60.125,1.9296875,4.349437713623047
1980-02-18,-2.375,-59.875,2.052734375,4.355737686157227
1980-02-18,-2.375,-59.625,2.216796875,4.376776695251465
1980-02-19,-2.375,-60.125,0,4.493594646453857
1980-02-19,-2.375,-59.875,0,4.494369029998779
1980-02-19,-2.375,-59.625,0,4.4951629638671875
1980-02-20,-2.375,-60.125,0,5.896758079528809
1980-02-20,-2.375,-59.875,0,5.825991630554199
1980-02-20,-2.375,-59.625,0,5.717626571655273
1980-02-21,-2.375,-60.125,0,5.930947780609131
1980-02-21,-2.375,-59.875,0,5.872281551361084
1980-02-21,-2.375,-59.625,0,5.783267021179199
1980-02-22,-2.375,-60.125,0,4.4796223640441895
1980-02-22,-2.375,-59.875,0,4.479122161865234
1980-02-22,-2.375,-59.625,0,4.4777045249938965
1980-02-23,-2.375,-60.125,0.5341796875,4.6671247482299805
1980-02-23,-2.375,-59.875,0.1412353515625,4.666269779205322
1980-02-23,-2.375,-59.625,0.344970703125,4.66563606262207
1980-02-24,-2.375,-60.125,19.875,3.1646816730499268
1980-02-24,-2.375,-59.875,15.1953125,3.1189537048339844
1980-02-24,-2.375,-59.625,12.25,3.066856622695923
1980-02-25,-2.375,-60.125,3.09375,4.063301086425781
1980-02-25,-2.375,-59.875,4.23046875,4.196738243103027
1980-02-25,-2.375,-59.625,5.46484375,4.290929317474365
1980-02-26,-2.375,-60.125,0,4.115774154663086
1980-02-26,-2.375,-59.875,0,4.173673629760742
1980-02-26,-2.375,-59.625,0,4.213212013244629
1980-02-27,-2.375,-60.125,0.34130859375,2.7748262882232666
1980-02-27,-2.375,-59.875,0.235595703125,2.7807493209838867
1980-02-27,-2.375,-59.625,0.19384765625,2.785146951675415
1980-02-28,-2.375,-60.125,0,5.362120151519775
1980-02-28,-2.375,-59.875,0,5.339465141296387
1980-02-28,-2.375,-59.625,0,5.302756309509277
1980-02-29,-2.375,-60.125,0.00490570068359375,4.982978820800781
1980-02-29,-2.375,-59.875,0.0106658935546875,5.041262149810791
1980-02-29,-2.375,-59.625,0.01113128662109375,5.08839225769043
1980-03-01,-2.375,-60.125,0,4.151181221008301
1980-03-01,-2.375,-59.875,0,4.179198265075684
1980-03-01,-2.375,-59.625,0,4.198531627655029
1980-03-02,-2.375,-60.125,0.3232421875,3.673923969268799
1980-03-02,-2.375,-59.875,0.9912109375,3.6143879890441895
1980-03-02,-2.375,-59.625,1.5224609375,3.5255837440490723
1980-03-03,-2.375,-60.125,0,3.517605781555176
1980-03-03,-2.375,-59.875,0,3.5234053134918213
1980-03-03,-2.375,-59.625,0,3.53389573097229
1980-03-04,-2.375,-60.125,21.875,3.5494747161865234
1980-03-04,-2.375,-59.875,20.21875,3.561908483505249
1980-03-04,-2.375,-59.625,16.640625,3.5629405975341797
1980-03-05,-2.375,-60.125,22.96875,3.5647776126861572
1980-03-05,-2.375,-59.875,25.5,3.5270371437072754
1980-03-05,-2.375,-59.625,27.109375,3.4710075855255127
1980-03-06,-2.375,-60.125,1.0078125,3.207014799118042
1980-03-06,-2.375,-59.875,0.93310546875,3.247875452041626
1980-03-06,-2.375,-59.625,1.0390625,3.2935407161712646
1980-03-07,-2.375,-60.125,2.779296875,2.477665901184082
1980-03-07,-2.375,-59.875,1.390625,2.4734294414520264
1980-03-07,-2.375,-59.625,1.09375,2.4675605297088623
1980-03-08,-2.375,-60.125,11.1875,3.1483607292175293
1980-03-08,-2.375,-59.875,12.6171875,3.091959238052368
1980-03-08,-2.375,-59.625,12.4296875,3.005772113800049
1980-03-09,-2.375,-60.125,1.822265625,3.180628538131714
1980-03-09,-2.375,-59.875,0.89697265625,3.1222119331359863
1980-03-09,-2.375,-59.625,0.66064453125,3.033782720565796
1980-03-10,-2.375,-60.125,5.01953125,3.0514867305755615
1980-03-10,-2.375,-59.875,5.08984375,3.0511069297790527
1980-03-10,-2.375,-59.625,7.21875,3.051706075668335
1980-03-11,-2.375,-60.125,1.9130859375,4.495631217956543
1980-03-11,-2.375,-59.875,2.05078125,4.457643508911133
1980-03-11,-2.375,-59.625,2.00390625,4.400172710418701
1980-03-12,-2.375,-60.125,3.45703125,3.1943063735961914
1980-03-12,-2.375,-59.875,2.578125,3.1468636989593506
1980-03-12,-2.375,-59.625,2.119140625,3.0801808834075928
1980-03-13,-2.375,-60.125,3.513671875,3.102942705154419
1980-03-13,-2.375,-59.875,3.87890625,3.071216344833374
1980-03-13,-2.375,-59.625,4.37109375,3.024435520172119
1980-03-14,-2.375,-60.125,4.71484375,2.85422682762146
1980-03-14,-2.375,-59.875,4.640625,2.8404781818389893
1980-03-14,-2.375,-59.625,4.6171875,2.8207039833068848
1980-03-15,-2.375,-60.125,5.125,4.317859649658203
1980-03-15,-2.375,-59.875,4.15234375,4.314066410064697
1980-03-15,-2.375,-59.625,3.42578125,4.306621074676514
1980-03-16,-2.375,-60.125,3.330078125,3.4478325843811035
1980-03-16,-2.375,-59.875,2.998046875,3.398857355117798
1980-03-16,-2.375,-59.625,2.697265625,3.3359978199005127
1980-03-17,-2.375,-60.125,2.65625,2.2140445709228516
1980-03-17,-2.375,-59.875,3.6328125,2.2037353515625
1980-03-17,-2.375,-59.625,4.265625,2.188253164291382
1980-03-18,-2.375,-60.125,21.859375,3.619643211364746
1980-03-18,-2.375,-59.875,21.625,3.60001277923584
1980-03-18,-2.375,-59.625,18.296875,3.5493502616882324
1980-03-19,-2.375,-60.125,4.03125,4.151467800140381
1980-03-19,-2.375,-59.875,4.25390625,4.147781848907471
1980-03-19,-2.375,-59.625,3.42578125,4.143447399139404
1980-03-20,-2.375,-60.125,12.9296875,2.095402479171753
1980-03-20,-2.375,-59.875,12.2109375,2.092478036880493
