Plant_No,No_of_seeds,Date_Collected
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,1,11-Mar-2008
unmarked_1501,2,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
unmarked_1501,3,11-Mar-2008
57,1,12-Mar-2008
75,1,12-Mar-2008
78,1,12-Mar-2008
85,1,12-Mar-2008
99,2,12-Mar-2008
105,2,12-Mar-2008
135,1,12-Mar-2008
151,2,12-Mar-2008
168,3,12-Mar-2008
172,3,12-Mar-2008
173,2,12-Mar-2008
173,3,12-Mar-2008
173,3,12-Mar-2008
207,2,12-Mar-2008
224,1,12-Mar-2008
224,2,12-Mar-2008
224,3,12-Mar-2008
237,3,12-Mar-2008
245,3,12-Mar-2008
250,1,12-Mar-2008
256,2,12-Mar-2008
256,2,12-Mar-2008
258,2,12-Mar-2008
258,2,12-Mar-2008
259,3,12-Mar-2008
259,3,12-Mar-2008
260,1,12-Mar-2008
261,3,12-Mar-2008
266,2,12-Mar-2008
268,1,12-Mar-2008
268,1,12-Mar-2008
268,1,12-Mar-2008
268,3,12-Mar-2008
271,3,12-Mar-2008
271,3,12-Mar-2008
274,3,12-Mar-2008
275,2,12-Mar-2008
284,2,12-Mar-2008
284,3,12-Mar-2008
285,2,12-Mar-2008
285,1,12-Mar-2008
285,3,12-Mar-2008
295,2,12-Mar-2008
295,2,12-Mar-2008
295,1,12-Mar-2008
295,1,12-Mar-2008
295,2,12-Mar-2008
295,3,12-Mar-2008
295,3,12-Mar-2008
295,3,12-Mar-2008
295,3,12-Mar-2008
33,1,16-Mar-2008
41,2,16-Mar-2008
51,0,16-Mar-2008
51,3,16-Mar-2008
55,3,16-Mar-2008
57,1,16-Mar-2008
57,2,16-Mar-2008
57,3,16-Mar-2008
67,1,16-Mar-2008
67,3,16-Mar-2008
75,1,16-Mar-2008
75,1,16-Mar-2008
76,2,16-Mar-2008
76,1,16-Mar-2008
76,1,16-Mar-2008
76,1,16-Mar-2008
76,2,16-Mar-2008
85,3,16-Mar-2008
88,2,16-Mar-2008
88,1,16-Mar-2008
88,1,16-Mar-2008
88,1,16-Mar-2008
88,3,16-Mar-2008
101,1,16-Mar-2008
101,1,16-Mar-2008
101,3,16-Mar-2008
101,3,16-Mar-2008
105,3,16-Mar-2008
105,3,16-Mar-2008
106,2,16-Mar-2008
106,1,16-Mar-2008
111,1,16-Mar-2008
126,2,16-Mar-2008
126,1,16-Mar-2008
135,2,16-Mar-2008
135,1,16-Mar-2008
135,1,16-Mar-2008
135,3,16-Mar-2008
136,2,16-Mar-2008
136,1,16-Mar-2008
137,3,16-Mar-2008
151,3,16-Mar-2008
151,1,16-Mar-2008
151,3,16-Mar-2008
152,1,16-Mar-2008
152,3,16-Mar-2008
166,2,16-Mar-2008
166,2,16-Mar-2008
167,2,16-Mar-2008
167,2,16-Mar-2008
167,2,16-Mar-2008
168,2,16-Mar-2008
168,1,16-Mar-2008
168,3,16-Mar-2008
170,2,16-Mar-2008
170,2,16-Mar-2008
171,3,16-Mar-2008
172,1,16-Mar-2008
174,1,16-Mar-2008
174,1,16-Mar-2008
175,2,16-Mar-2008
175,3,16-Mar-2008
177,2,16-Mar-2008
177,1,16-Mar-2008
194,1,16-Mar-2008
195,1,16-Mar-2008
197,2,16-Mar-2008
197,1,16-Mar-2008
198,3,16-Mar-2008
198,3,16-Mar-2008
198,3,16-Mar-2008
198,3,16-Mar-2008
198,3,16-Mar-2008
224,2,16-Mar-2008
224,1,16-Mar-2008
224,1,16-Mar-2008
237,2,16-Mar-2008
237,1,16-Mar-2008
237,3,16-Mar-2008
245,1,16-Mar-2008
245,1,16-Mar-2008
245,3,16-Mar-2008
246,1,16-Mar-2008
246,1,16-Mar-2008
246,1,16-Mar-2008
246,1,16-Mar-2008
246,3,16-Mar-2008
247,1,16-Mar-2008
248,1,16-Mar-2008
249,1,16-Mar-2008
257,2,16-Mar-2008
257,2,16-Mar-2008
257,1,16-Mar-2008
259,2,16-Mar-2008
259,1,16-Mar-2008
260,2,16-Mar-2008
260,3,16-Mar-2008
268,2,16-Mar-2008
268,1,16-Mar-2008
268,3,16-Mar-2008
270,2,16-Mar-2008
270,3,16-Mar-2008
271,1,16-Mar-2008
271,0,16-Mar-2008
271,3,16-Mar-2008
275,2,16-Mar-2008
275,1,16-Mar-2008
275,1,16-Mar-2008
275,1,16-Mar-2008
275,1,16-Mar-2008
275,3,16-Mar-2008
280,2,16-Mar-2008
282,2,16-Mar-2008
282,1,16-Mar-2008
282,3,16-Mar-2008
287,1,16-Mar-2008
287,1,16-Mar-2008
287,1,16-Mar-2008
287,2,16-Mar-2008
284 or 139,2,16-Mar-2008
284 or 139,3,16-Mar-2008
284 or 139,3,16-Mar-2008
unmarked_1501,2,16-Mar-2008
unmarked_1501,2,16-Mar-2008
unmarked_1501,2,16-Mar-2008
unmarked_1501,1,16-Mar-2008
unmarked_1501,2,16-Mar-2008
unmarked_1501,3,16-Mar-2008
55,1,21-Mar-2008
57,2,21-Mar-2008
57,3,21-Mar-2008
76,2,21-Mar-2008
76,1,21-Mar-2008
76,1,21-Mar-2008
76,3,21-Mar-2008
76,3,21-Mar-2008
76,3,21-Mar-2008
79,1,21-Mar-2008
79,1,21-Mar-2008
88,2,21-Mar-2008
88,2,21-Mar-2008
88,1,21-Mar-2008
88,1,21-Mar-2008
88,0,21-Mar-2008
88,3,21-Mar-2008
88,3,21-Mar-2008
101,2,21-Mar-2008
101,1,21-Mar-2008
105,1,21-Mar-2008
105,1,21-Mar-2008
109,2,21-Mar-2008
116,2,21-Mar-2008
116,3,21-Mar-2008
117,2,21-Mar-2008
137,1,21-Mar-2008
137,1,21-Mar-2008
139,2,21-Mar-2008
139,1,21-Mar-2008
139,2,21-Mar-2008
140,1,21-Mar-2008
144,3,21-Mar-2008
148,2,21-Mar-2008
153,2,21-Mar-2008
153,3,21-Mar-2008
171,3,21-Mar-2008
172,3,21-Mar-2008
195,2,21-Mar-2008
198,3,21-Mar-2008
198,3,21-Mar-2008
198,3,21-Mar-2008
237,2,21-Mar-2008
237,2,21-Mar-2008
237,2,21-Mar-2008
237,2,21-Mar-2008
237,1,21-Mar-2008
237,1,21-Mar-2008
237,3,21-Mar-2008
257,1,21-Mar-2008
259,2,21-Mar-2008
259,1,21-Mar-2008
260,1,21-Mar-2008
265,2,21-Mar-2008
270,2,21-Mar-2008
270,1,21-Mar-2008
274,1,21-Mar-2008
277,1,21-Mar-2008
278,2,21-Mar-2008
283,3,21-Mar-2008
296,1,21-Mar-2008
296,2,21-Mar-2008
296,2,21-Mar-2008
296,3,21-Mar-2008
296,3,21-Mar-2008
296,3,21-Mar-2008
unmarked_1501,2,21-Mar-2008
unmarked_1501,2,21-Mar-2008
unmarked_1501,3,21-Mar-2008
unmarked_1501,3,21-Mar-2008
88,1,23-Mar-2008
103,2,23-Mar-2008
103,2,23-Mar-2008
139,2,23-Mar-2008
139,1,23-Mar-2008
139,3,23-Mar-2008
142,3,23-Mar-2008
144,1,23-Mar-2008
153,1,23-Mar-2008
168,2,23-Mar-2008
197,2,23-Mar-2008
197,1,23-Mar-2008
197,1,23-Mar-2008
207,1,23-Mar-2008
207,1,23-Mar-2008
207,3,23-Mar-2008
208,2,23-Mar-2008
237,2,23-Mar-2008
237,1,23-Mar-2008
277,1,23-Mar-2008
16,1,2-Apr-2008
17,2,2-Apr-2008
18,1,2-Apr-2008
19,1,2-Apr-2008
41,2,2-Apr-2008
41,1,2-Apr-2008
67,2,2-Apr-2008
67,1,2-Apr-2008
75,2,2-Apr-2008
75,1,2-Apr-2008
75,1,2-Apr-2008
76,2,2-Apr-2008
76,1,2-Apr-2008
88,1,2-Apr-2008
88,1,2-Apr-2008
88,3,2-Apr-2008
103,2,2-Apr-2008
103,2,2-Apr-2008
103,1,2-Apr-2008
103,1,2-Apr-2008
130,2,2-Apr-2008
130,2,2-Apr-2008
135,1,2-Apr-2008
139,1,2-Apr-2008
139,3,2-Apr-2008
140,3,2-Apr-2008
142,2,2-Apr-2008
142,2,2-Apr-2008
142,2,2-Apr-2008
142,1,2-Apr-2008
143,1,2-Apr-2008
144,2,2-Apr-2008
144,3,2-Apr-2008
152,2,2-Apr-2008
153,2,2-Apr-2008
153,1,2-Apr-2008
153,3,2-Apr-2008
153,3,2-Apr-2008
153,3,2-Apr-2008
153,3,2-Apr-2008
153,3,2-Apr-2008
154,1,2-Apr-2008
154,1,2-Apr-2008
154,3,2-Apr-2008
168,2,2-Apr-2008
168,1,2-Apr-2008
176,3,2-Apr-2008
194,1,2-Apr-2008
194,1,2-Apr-2008
194,3,2-Apr-2008
194,3,2-Apr-2008
195,2,2-Apr-2008
195,2,2-Apr-2008
197,2,2-Apr-2008
197,1,2-Apr-2008
198,2,2-Apr-2008
198,3,2-Apr-2008
199,1,2-Apr-2008
204,1,2-Apr-2008
207,2,2-Apr-2008
207,1,2-Apr-2008
207,1,2-Apr-2008
207,3,2-Apr-2008
214,3,2-Apr-2008
219,2,2-Apr-2008
219,2,2-Apr-2008
219,2,2-Apr-2008
219,2,2-Apr-2008
219,1,2-Apr-2008
219,1,2-Apr-2008
219,1,2-Apr-2008
219,3,2-Apr-2008
237,3,2-Apr-2008
257,2,2-Apr-2008
257,2,2-Apr-2008
257,1,2-Apr-2008
257,1,2-Apr-2008
257,3,2-Apr-2008
257,3,2-Apr-2008
257,3,2-Apr-2008
274,1,2-Apr-2008
277,2,2-Apr-2008
277,1,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,3,2-Apr-2008
unmarked_1501,3,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,1,2-Apr-2008
unmarked_1501,3,2-Apr-2008
unmarked_1501,3,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,2,2-Apr-2008
unmarked_1501,3,2-Apr-2008
1,1,3-Apr-2008
192,1,3-Apr-2008
1,1,3-Apr-2008
1,1,3-Apr-2008
1,1,3-Apr-2008
1,3,3-Apr-2008
24,2,3-Apr-2008
24,1,3-Apr-2008
24,3,3-Apr-2008
24,3,3-Apr-2008
24,3,3-Apr-2008
135,1,3-Apr-2008
153,2,3-Apr-2008
159,1,3-Apr-2008
159,0,3-Apr-2008
163,1,3-Apr-2008
178,1,3-Apr-2008
182,2,3-Apr-2008
182,1,3-Apr-2008
182,3,3-Apr-2008
183,3,3-Apr-2008
185,1,3-Apr-2008
187,3,3-Apr-2008
192,1,3-Apr-2008
193,3,3-Apr-2008
193,3,3-Apr-2008
194,1,3-Apr-2008
194,1,3-Apr-2008
198,1,3-Apr-2008
201,2,3-Apr-2008
201,1,3-Apr-2008
201,1,3-Apr-2008
201,3,3-Apr-2008
206,1,3-Apr-2008
245,1,3-Apr-2008
250,2,3-Apr-2008
250,1,3-Apr-2008
250,3,3-Apr-2008
